==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
18.633,0.000,93.719,1019.181
18.700,0.000,91.489,999.403
18.767,0.000,89.184,1083.666
18.833,0.000,86.803,965.704
18.900,0.000,84.348,965.971
18.933,0.000,83.092,1106.396
18.967,0.000,81.818,1184.813
19.000,0.000,80.525,1162.442
19.067,0.000,77.882,1173.205
19.100,0.000,76.533,1159.102
19.133,0.000,75.165,1002.628
19.200,0.000,72.372,1105.615
19.233,0.000,70.948,1151.967
19.267,0.000,69.504,1187.544
19.300,0.000,68.043,1183.161
19.333,0.000,66.562,1173.740
19.367,0.000,65.063,1094.253
19.433,0.000,62.008,1154.922
19.467,0.000,60.452,1081.100
19.500,0.000,58.878,1101.340
19.567,0.000,55.673,1130.730
19.600,0.000,54.042,1278.081
19.667,0.000,50.725,1212.961
19.700,0.000,49.038,1153.040
19.733,62.835,49.479,1074.690
19.767,61.769,49.850,1306.941
19.800,60.769,50.156,1177.053
19.867,59.175,50.283,1295.366
19.900,58.290,50.434,1306.435
19.933,57.423,50.532,1301.211
19.967,56.546,50.578,1148.878
20.000,55.625,50.572,1177.447
20.033,54.773,50.519,1154.967
20.067,53.969,50.422,1301.270
20.133,52.426,50.006,1306.342
20.200,50.564,49.464,1332.685
20.233,49.813,49.167,1346.893
20.267,48.947,48.831,1317.156
20.400,45.642,47.219,1290.369
20.433,44.810,46.714,1371.565
20.467,43.943,46.177,1206.991
20.500,43.116,45.612,1225.903
20.533,42.331,45.020,1237.552
20.567,41.618,44.404,1319.445
20.633,39.803,43.189,1298.301
20.667,38.886,42.485,1235.558
20.733,37.199,41.131,1218.148
20.767,36.400,40.355,1381.555
20.800,35.586,39.559,1366.921
20.867,34.042,38.043,1417.539
20.900,33.392,37.193,1219.467
20.933,32.742,36.330,1405.754
20.967,32.152,35.457,1274.678
21.000,31.290,34.565,1368.872
21.033,30.459,33.656,1344.568
21.133,28.417,31.048,1388.379
21.167,27.697,30.086,1308.941
21.200,26.850,29.110,1285.290
21.233,26.130,28.122,1359.035
21.267,25.487,27.127,1340.808
21.333,24.098,25.153,1502.167
21.367,23.227,24.123,1444.577
21.400,22.474,23.083,1369.376
21.433,21.879,22.039,1290.701
21.467,21.273,20.990,1493.804
21.500,20.651,19.936,1544.022
21.533,19.920,18.873,1390.780
21.567,19.067,17.798,1547.179
21.600,18.353,16.716,1425.429
21.633,17.447,15.620,1349.717
21.667,16.687,14.517,1362.734
21.700,15.798,13.401,1606.875
21.733,15.024,12.277,1405.880
21.767,14.353,11.149,1479.739
21.800,13.429,10.008,1381.411
21.833,12.529,8.856,1409.321
21.933,10.564,5.090,1536.038
21.967,9.732,3.932,1360.016
22.000,9.008,2.768,1504.137
22.033,8.260,1.600,1462.620
22.067,7.542,0.427,1465.259
22.100,6.678,-0.755,1472.234
22.133,5.850,-1.945,1534.914
22.167,5.052,-3.141,1586.298
22.200,4.300,-4.341,1574.812
22.233,3.350,-5.552,1575.115
22.267,2.476,-6.771,1611.366
22.367,0.237,-11.114,1490.036
22.433,-1.596,-13.945,1556.239
22.467,-2.563,-15.168,1526.508
22.500,-3.673,-16.407,1436.633
22.567,-5.248,-19.337,1631.728
22.600,-6.197,-20.579,1735.308
22.633,-7.194,-21.832,1479.517
22.667,-8.194,-23.096,1686.497
22.733,-9.788,-24.407,1556.610
22.833,-12.214,-24.149,1669.677
22.867,-13.192,-23.866,1526.352
22.900,-14.218,-23.643,1741.383
22.933,-15.077,-23.473,1531.499
22.967,-15.873,-23.352,1763.719
23.000,-16.816,-23.282,1581.927
23.100,-18.962,-23.682,1707.360
23.133,-19.880,-23.769,1625.928
23.167,-20.625,-23.895,1628.952
23.200,-21.255,-24.054,1681.430
23.267,-22.575,-24.549,1821.435
