==== Logging ASAMI ====
t, Ws_t, Wa_t, gtDistance
17.233,0.000,57.340,1203.798
17.267,0.000,55.989,1178.745
17.400,0.000,51.824,1211.899
17.433,0.000,51.790,1214.988
17.467,0.000,51.739,1079.497
17.500,0.000,51.670,1216.383
17.533,0.000,51.585,1205.982
17.567,0.000,51.482,1083.494
17.600,0.000,51.362,1237.835
17.633,0.000,51.225,1293.354
17.667,0.000,51.071,1125.355
17.700,0.000,50.900,1275.672
17.767,0.000,50.507,1215.025
17.800,0.000,50.285,1162.023
17.867,0.000,49.789,1273.365
17.900,0.000,49.515,1306.792
17.933,0.000,49.224,1328.312
17.967,0.000,48.916,1158.321
18.000,0.000,48.591,1158.555
18.067,0.000,47.890,1144.591
18.100,0.000,47.514,1274.566
18.133,0.000,47.120,1268.214
18.167,0.000,46.710,1244.348
18.200,0.000,46.282,1219.393
18.233,0.000,45.837,1256.482
18.267,0.000,45.376,1272.044
18.333,0.000,44.401,1199.524
18.367,0.000,43.887,1376.907
18.400,0.000,43.357,1272.576
18.433,0.000,42.810,1355.206
18.467,0.000,42.245,1380.776
18.500,0.000,41.664,1308.527
18.533,0.000,41.065,1321.529
18.633,0.000,39.166,1412.115
18.667,0.000,38.499,1288.059
18.700,0.000,37.815,1247.759
18.733,0.000,37.114,1379.615
18.767,0.000,36.395,1435.045
18.800,0.000,35.660,1320.924
18.833,0.000,34.907,1401.919
18.933,0.000,32.547,1297.535
18.967,0.000,31.726,1378.401
19.000,0.000,30.888,1348.373
19.033,0.000,30.032,1270.511
19.067,0.000,29.160,1280.119
19.133,0.000,27.364,1410.171
19.167,0.000,26.440,1355.984
19.233,0.000,24.542,1304.653
19.300,0.000,22.575,1282.887
19.333,0.000,21.566,1453.313
19.367,0.000,20.539,1458.725
19.400,0.000,19.496,1481.716
19.533,0.000,15.151,1416.883
19.567,0.000,14.022,1462.254
19.600,0.000,12.876,1468.845
19.700,0.000,9.336,1480.314
19.733,15.773,8.376,1487.047
19.767,15.103,7.410,1496.920
19.833,13.670,5.188,1500.656
19.933,11.746,1.637,1500.949
19.967,10.882,0.655,1350.356
20.000,9.924,-0.342,1570.339
20.033,9.164,-1.348,1535.141
20.067,8.201,-2.369,1513.834
20.100,7.401,-3.399,1409.719
20.133,6.546,-4.440,1403.567
20.167,5.592,-5.495,1437.494
20.233,4.036,-8.004,1581.064
20.300,2.582,-10.545,1608.121
20.333,1.608,-11.612,1518.177
20.367,0.679,-12.690,1629.254
20.400,-0.320,-12.287,1564.509
20.433,-1.101,-11.934,1538.266
20.467,-2.021,-11.632,1517.177
20.500,-2.878,-11.379,1563.221
20.567,-4.171,-11.245,1610.097
20.600,-4.943,-11.102,1553.973
20.667,-6.228,-11.104,1410.971
20.733,-7.433,-11.184,1710.212
20.833,-9.020,-11.489,1705.151
20.900,-10.142,-11.743,1611.010
20.933,-10.726,-11.873,1645.036
21.033,-12.367,-12.440,1456.505
21.067,-12.872,-12.657,1489.362
21.133,-13.820,-13.130,1606.505
21.167,-14.200,-13.397,1688.024
21.200,-14.693,-13.682,1525.560
21.233,-15.152,-13.982,1454.012
21.267,-15.635,-14.297,1579.744
21.333,-16.574,-14.923,1762.049
21.367,-16.995,-15.282,1474.906
21.400,-17.473,-15.654,1618.025
21.433,-17.850,-16.036,1648.140
21.467,-18.213,-16.427,1688.349
21.500,-18.557,-16.826,1702.437
21.600,-19.710,-17.965,1653.917
21.667,-20.477,-18.792,1645.464
21.700,-20.900,-19.248,1793.775
21.733,-21.305,-19.712,1568.643
21.767,-21.726,-20.185,1577.482
21.800,-22.065,-20.663,1664.396
21.833,-22.456,-21.147,1616.379
21.900,-23.211,-22.094,1834.259
21.933,-23.552,-22.596,1743.827
22.000,-24.442,-23.594,1594.330
22.033,-24.759,-24.115,1530.832
22.067,-25.163,-24.643,1609.566
22.100,-25.495,-25.173,1736.891
22.133,-25.888,-25.708,1660.029
22.167,-26.254,-26.248,1846.594
22.200,-26.666,-26.792,1726.371
22.300,-27.782,-28.476,1582.914
22.333,-28.206,-29.036,1822.237
22.433,-29.218,-30.809,1755.997
22.600,-31.111,-33.955,1633.148
22.633,-31.469,-34.529,1569.257
22.733,-32.549,-36.490,1611.650
22.767,-32.931,-37.066,1897.816
22.800,-33.351,-37.647,1601.409
22.833,-33.759,-38.231,1815.833
22.933,-34.819,-40.318,1891.622
22.967,-35.241,-40.902,1747.541
23.000,-35.678,-41.490,1889.836
23.033,-36.173,-42.085,1597.123
23.067,-36.614,-42.684,1659.411
23.100,-37.141,-43.291,1897.105
23.167,-37.997,-44.726,1789.349
23.233,-38.861,-46.181,1833.786
23.267,-39.384,-46.794,1784.488
23.333,-40.161,-48.282,1931.452
23.367,-40.696,-48.897,1638.717
23.400,-41.168,-48.653,1654.524
23.433,-41.709,-48.449,1669.242
23.467,-42.148,-48.281,1747.525
23.500,-42.625,-48.147,1796.933
23.567,-43.552,-48.145,1697.874
23.633,-44.516,-48.230,1886.618
23.667,-45.042,-48.247,1653.215
23.700,-45.456,-48.292,1860.446
23.733,-45.931,-48.364,1715.932
23.767,-46.428,-48.464,1968.459
23.800,-46.809,-48.588,1723.490
23.833,-47.168,-48.733,1732.659
23.933,-48.433,-49.382,1749.549
23.967,-48.911,-49.614,1921.221
24.000,-49.276,-49.864,1815.324
24.033,-49.702,-50.133,1928.800
24.067,-50.045,-50.418,1718.437
24.133,-50.763,-51.048,2005.338
24.233,-52.108,-52.114,1688.761
24.267,-52.568,-52.500,1737.463
24.333,-53.334,-53.310,1759.231
24.367,-53.738,-53.737,1867.621
24.400,-54.175,-54.177,1982.100
24.433,-54.577,-54.630,1925.937
24.467,-54.981,-55.095,1781.995
24.567,-56.068,-56.570,1994.763
24.600,-56.422,-57.073,1716.866
24.633,-56.777,-57.585,2014.586
24.667,-57.206,-58.108,2011.740
24.700,-57.562,-58.640,2068.285
24.733,-58.005,-59.182,1782.549
24.800,-58.788,-60.336,1937.203
24.833,-59.155,-60.901,1957.327
24.867,-59.657,-61.478,2031.428
24.933,-60.504,-62.723,1850.526
24.967,-60.968,-63.324,1987.636
25.000,-61.441,-63.934,1847.024
25.067,-62.230,-65.265,2107.429
25.100,-62.722,-65.894,2042.105
25.167,-63.587,-67.287,2072.214
25.233,-64.459,-68.718,1763.892
25.333,-65.766,-71.009,1920.506
25.433,-67.014,-73.390,1810.215
25.467,-67.527,-74.060,1816.672
25.500,-68.092,-74.740,2090.118
25.533,-68.603,-75.428,1973.859
25.600,-69.577,-77.060,2020.910
25.633,-70.208,-77.766,1900.159
25.667,-70.800,-78.482,1873.144
25.700,-71.280,-79.203,1970.425
25.767,-72.394,-80.940,1964.849
25.800,-72.930,-81.676,1856.688
25.833,-73.473,-82.419,2003.893
25.900,-74.379,-84.225,1845.307
25.967,-75.457,-86.062,1825.520
26.000,-76.126,-86.816,2165.615
26.033,-76.680,-87.577,2203.069
26.067,-77.342,-88.349,1866.090
26.100,-78.005,-89.130,2167.714
26.133,-78.660,-89.922,1868.491
26.167,-79.353,-90.723,1897.851
26.200,-80.022,-91.534,2216.702
26.233,-80.585,-92.350,2100.763
26.267,-81.200,-93.174,2020.411
26.300,-81.879,-94.006,2093.626
26.333,-82.476,-94.844,2173.420
26.400,-83.496,-95.714,2114.842
26.433,-84.127,-95.350,2044.202
26.500,-85.233,-95.091,2213.075
26.533,-85.802,-94.838,2231.449
26.567,-86.294,-94.620,2176.850
26.600,-86.889,-94.441,2222.394
26.633,-87.469,-94.299,1933.867
